Article_id,credibility_withoutUser_Count
1264,327205867445
1265,1506138625
1267,112099338172
1268,60869
1270,22746927481
1271,3971429871390
1273,13300511002707830
1274,428396960257
1275,30255125449
1276,1537652103
1277,808339569416
1278,1012812073
1279,153070810614
1280,22761609
1282,705721
1285,6999764652987
1286,30992194831826
1288,6437883928521477
1289,2529273792033
1289,2529273789186
1291,13399712074993
1292,507395950559
1293,88396341806
1295,85800382
1298,2804146759818
1300,21857706961933
1301,31557217228
1302,4441684086014
1303,967081953010
1304,6082804314
1305,1506604549
1305,1506604394
1306,455384454798468
1307,24853269753627
1309,2852601756
1311,63685666698
1312,946344637
1313,802081060669
1314,2
1315,6670129967034766
1316,178247041300
1317,120567485468062
1318,1586981016
1320,96059617
1322,15507006426
1324,568669948149
1325,43765877214
1327,41738975092788
1327,41738975066037
1328,147460
1328,157860
1330,3048807952
1331,30849810383
1332,18350109910900
1333,39050756365754
1334,31300388448626
1335,698913304257
1336,386681022734
1337,81
1338,29227352001483
1344,95853151451
1346,2290395535601
1347,2751391711292798
1348,1104836813562451
1349,3894362057296
1350,37695555
1352,1464022484
1353,10241497356
1353,10241487696
1354,156531919065867
1355,1047903705
1356,5315594809
1356,5315598329
1357,478324516988
1358,556258072623609
1359,2173984360
1360,30424151419
1361,63794685086014
1362,2710439263
1363,593517109980
1364,3050682921817
1365,1338921552348521
1366,6346857578610
1367,127120787443246
1368,276722107431454
1369,222959220356
1370,100205329299096
1371,17624912442
1372,164021028449926
1373,14362696561
1374,101041039249
1375,175093627273891
1376,2602238216407
1377,1875943286
1379,645046426823
1380,525186554315
1381,17648765795163
1382,1294848932
1383,1037632268631
1384,2926487190851
1386,83914992989
1387,6238843722821
1388,39796378347698
1389,1048489334510
1391,87056997
1392,9256446472
1393,1998519915047
1394,3137454571914
1394,3137454568074
1395,17817139167427
1395,17817139564758
1397,111367595579565536
1398,140088203611481
1399,161218
1400,230060981938283
1404,1473108502
1406,48864084
1408,15752311700681
1409,104453414827
1412,16608926948848
1415,151807141
1416,21020360071407
1417,119098306386920
1418,17909007254628
1419,3280298360757
1420,157352105
1422,1431155127127
1423,653578309114520
1425,709859788188700
1428,200020290210
1432,154200726065
1433,251373888008
1433,251373882639
1434,5170089425
1435,112658046962
1435,112658045519
1436,3671209849137757
1437,2606670049040
1438,1014441929981
1439,149473614
1440,22865306867940
1441,6482526962
1442,60037767634082
1444,40513810478
1445,175474928982602
1446,24340370679315
1447,2057167025102
1448,44782756746517
1449,4883751337498
1451,329988107847155
1453,16444979486151
1453,16444979464578
1456,19715037691624
1458,1206973109185898
1460,5008416738667
1461,930358684873725
1462,35775453697
1465,166489
1466,4668346772119
1478,9482153639890
1478,9482153635570
1482,6796026582
1484,44682965944
1485,113844523805
1486,126934909393255
1487,134291222482
1488,274447171938
1490,21596274346257
1491,48532279940305
1491,48532279452488
1493,22256692938476
1494,4912698158913466
1495,343613614914955
1496,23795803609272
1497,37524587200888
1498,18526907518933
1498,18526907199946
1499,19552782640147
1500,5688900816
1501,65832864
1502,91527589
1502,91563210
1503,13082110
1504,70650578911
1505,109922480
1506,36422131
1507,11119229
1508,133442839661
1508,133442894666
1509,696753376071
1511,180713410865
1512,6633516193
1513,204336901368
1514,6086933567910
1515,13053337230
1516,662547769
1516,662552224
1517,1800814132
1519,17972321842539
1520,27369882527037
1522,303595857
1523,3993581807861
1525,1346238746280676
1526,55424001760
